UML_ID,Parent_Com,Mill_name,RSPO_STATU,RSPO_Type,Date,Latitude,Longitude,GPS,GPS_X,GPS_Y,ISO,Country,Province,District,Confidence,Alternativ,UML_ID_1
PO1000003333,Goodhope Asia Holdings Ltd,Pt Agro Bukit,RSPO Certified,"RSPO Certified, MB","43438",-2.56225000000,112.76806700000,"-2.56225, 112.768067",112.76806700000,-2.56225000000,IDN,Indonesia,Central Kalimantan,Kotawaringin Timur,1 - Fully Verified,,PO1000003333
PO1000003359,Felda Global Ventures Holdings Berhad,Fpisb Kilang Sawit Maokil,RSPO Certified,"RSPO Certified, MB","43438",2.29123000000,102.99555300000,"2.29123, 102.995553",102.99555300000,2.29123000000,MYS,Malaysia,Johor,Muar,1 - Fully Verified,,PO1000003359
PO1000003414,Felda,Fpisb Kilang Sawit Air Tawar,Not RSPO Certified,,"43438",1.66694400000,104.02694400000,"1.666944, 104.026944",104.02694400000,1.66694400000,MYS,Malaysia,Perak,Manjung,1 - Fully Verified,,PO1000003414
PO1000003486,Wilmar International Limited,Pt. Rimba Harapan Sakti,RSPO Certified,"RSPO Certified, MB","43438",-2.83577800000,112.57178000000,"-2.835778, 112.57178",112.57178000000,-2.83577800000,IDN,Indonesia,Central Kalimantan,Seruyan,1 - Fully Verified,,PO1000003486
PO1000003491,Bumitama Agri Ltd,Gunajaya Karya Gemilang,RSPO Certified,"RSPO Certified, MB","43438",-2.44583300000,110.26583300000,"-2.445833, 110.265833",110.26583300000,-2.44583300000,IDN,Indonesia,West Kalimantan,Ketapang,1 - Fully Verified,,PO1000003491
PO1000003496,Kretam Holdings Berhad,Syarikat Kretam Mill - Kretam Mill,RSPO Certified,"RSPO Certified, IP","43438",5.65716700000,117.83752800000,"5.657167, 117.837528",117.83752800000,5.65716700000,MYS,Malaysia,Sabah,Sandakan,1 - Fully Verified,,PO1000003496
PO1000003497,Wilmar International Limited,Pt. Agro Palindo Sakti,Not RSPO Certified,,"43438",-2.72201800000,104.35859900000,"-2.722018, 104.358599",104.35859900000,-2.72201800000,IDN,Indonesia,South Sumatra,Banyu Asin,1 - Fully Verified,,PO1000003497
PO1000003666,Pitak Palm Oil Company Limited,"Pitakpalmoil.,Co.,Ltd",RSPO Certified,"RSPO Certified, MB","43438",7.74324000000,99.30955800000,"7.74324, 99.309558",99.30955800000,7.74324000000,THA,Thailand,Trang,Sikao,1 - Fully Verified,,PO1000003666
PO1000003711,Unknown,Kilang Kelapa Sawit Siang,Not RSPO Certified,,"43438",1.54538600000,104.20934700000,"1.545386, 104.209347",104.20934700000,1.54538600000,MYS,Malaysia,Johor,Kota Tinggi,1 - Fully Verified,,PO1000003711
PO1000003712,Seong Thye,Ace Oil Mill Sdn Bhd,Not RSPO Certified,,"43438",2.91191700000,102.77980600000,"2.911917, 102.779806",102.77980600000,2.91191700000,MYS,Malaysia,Pahang,Rompin,1 - Fully Verified,,PO1000003712
PO1000003713,Achi Jaya,Achi Jaya Plantations Sdn Bhd,Not RSPO Certified,,"43438",2.25147200000,103.05130600000,"2.251472, 103.051306",103.05130600000,2.25147200000,MYS,Malaysia,Johor,Segamat,2 - High Confidence,,PO1000003713
PO1000003714,Alambumi Palm Oil Mill,Alambumi Palm Oil Mill Sdn Bhd,Not RSPO Certified,,"43438",3.58543600000,113.67064500000,"3.585436, 113.670645",113.67064500000,3.58543600000,MYS,Malaysia,Sarawak,Niah Suai,1 - Fully Verified,,PO1000003714
PO1000003715,Arah Kawasan,Arah Kawasan Sdn Bhd,Not RSPO Certified,,"43438",5.27879100000,100.68609300000,"5.278791, 100.686093",100.68609300000,5.27879100000,MYS,Malaysia,Kedah,Bandar Baharu,1 - Fully Verified,,PO1000003715
PO1000003716,Tsh Plantations,Awan Timur Palm Oil Mill Resources (Perak) Sdn Bhd,Not RSPO Certified,,"43438",4.53147700000,100.73058400000,"4.531477, 100.730584",100.73058400000,4.53147700000,MYS,Malaysia,Perak,Larut and Matang,1 - Fully Verified,,PO1000003716
PO1000003717,Malaysian Kuwaiti Investment Co. Sdn Bhd,Balung Palm Oil Mill Sdn Bhd,Not RSPO Certified,,"43438",4.37905500000,118.18611900000,"4.379055, 118.186119",118.18611900000,4.37905500000,MYS,Malaysia,Sabah,Tawau,2 - High Confidence,,PO1000003717
PO1000003718,Ban Dung Palm Oil Industries Sdn Bhd,Ban Dung Palm Oil Mill Sdn Bhd,Not RSPO Certified,,"43438",2.04555300000,102.87979700000,"2.045553, 102.879797",102.87979700000,2.04555300000,MYS,Malaysia,Johor,Batu Pahat,1 - Fully Verified,,PO1000003718
PO1000003719,Bbc Palm Oil Mill,Bbc Palm Oil Mill,Not RSPO Certified,,"43438",3.06321400000,113.06815400000,"3.063214, 113.068154",113.06815400000,3.06321400000,MYS,Malaysia,Sarawak,Bintulu,1 - Fully Verified,,PO1000003719
PO1000003720,Ngin Kong Group,Beaufort Palm Oil Mill Sdn Bhd,Not RSPO Certified,,"43438",5.30861100000,115.70500000000,"5.308611, 115.705",115.70500000000,5.30861100000,MYS,Malaysia,Sabah,Beaufort,1 - Fully Verified,,PO1000003720
PO1000003721,Bell Group,Syarikat Perusahaan Kelapa Sawit,Not RSPO Certified,,"43438",2.16696700000,103.05845300000,"2.166967, 103.058453",103.05845300000,2.16696700000,MYS,Malaysia,Johor,Segamat,2 - High Confidence,,PO1000003721
PO1000003723,Unknown,Victory Eng Hoe Plantations Sdn Bhd,Not RSPO Certified,,"43438",3.79220000000,101.35190000000,"3.7922, 101.3519",101.35190000000,3.79220000000,MYS,Malaysia,Selangor,Hulu Selangor,1 - Fully Verified,,PO1000003723
PO1000003724,Bell Management Sdn Bhd,Bell Palm Industries Sdn Bhd,Not RSPO Certified,,"43438",1.91677800000,102.89175000000,"1.916778, 102.89175",102.89175000000,1.91677800000,MYS,Malaysia,Johor,Batu Pahat,1 - Fully Verified,,PO1000003724
PO1000003725,Borneo Agro-Resources,Borneo Agro-Resources Sdn Bhd,Not RSPO Certified,,"43438",3.27630400000,113.42660600000,"3.276304, 113.426606",113.42660600000,3.27630400000,MYS,Malaysia,Sarawak,Bintulu,1 - Fully Verified,,PO1000003725
